Country,Rank,Math Score,Science Score,Reading Score,Sets Clear Goals,Thinking and Reasoning,Checks Understanding,Summarizes Previous Lessons,Reflect Problems,Homework Back in Time,Helps Students with Learning,Opportunity to Express Opinions,Teachers Are Interested
China-Shanghai,1,611,579,568,79.3,75.32,79.08,76.37,72.21,62.38,83.81,81.21,81.17
Singapore,2,569,547,538,73.55,67.58,80.62,63.44,67.65,75.23,85.88,78.26,79.47
Hong Kong,3,562,556,545,62.13,60.07,69.01,59.93,62.23,68.28,80.37,76.47,72.86
Taiwan,4,558,523,522,69.72,63.73,72.64,62.48,63.6,73.64,81.96,80.37,76.53
South Korea,5,555,538,537,67.17,51.96,67.14,62.51,54.48,67.88,76.42,68.97,70.18
Macao,6,539,521,510,70.73,61.61,71.79,67.75,60.55,67.36,79.12,76.26,74.44
Liechtenstein,7,538,526,519,76.99,78.18,77.39,58.07,68.39,73.38,71.32,71.17,74.47
Japan,8,537,548,538,65.24,60.96,69.68,59.01,58.94,76.82,77.5,69.61,65.22
Estonia,9,522,544,518,74.44,55.22,72.43,51.44,67.21,70.79,79.45,73.59,73.04
Poland,10,521,529,522,72.59,59.17,71.7,49.71,73.59,69.12,74.83,69.88,63.82
Switzerland,11,521,504,498,73.58,70.92,73.02,56.16,68.12,72.21,74.24,74.66,73.66
Czech Republic,12,520,528,514,73.79,68.08,76.61,65.62,73.56,76.74,70.42,72.89,69.07
Belgium,13,520,511,513,68.67,60.9,72.52,58.38,66.23,75.36,70.06,70.88,71.58
Netherlands,14,519,518,507,71.52,74.87,67.2,51.59,70.01,77.26,65.16,68.83,71.48
Germany,15,514,524,508,71.33,71.47,73.16,54.06,62.24,72.82,68.27,68.54,69.57
Vietnam,16,511,529,509,86,61.18,79.03,72.49,70.17,79.53,77.59,87.27,73.1
Canada,17,510,515,512,75.03,67.73,78.69,67.25,72.05,74.48,83.27,75.47,77.36
Finland,18,508,528,511,70.29,69.38,69.04,60.96,67.01,70.54,80.5,73.4,71.16
Austria,19,508,508,491,69.43,67.74,70.54,56.79,62.92,73.36,63.77,67.38,71.66
New Zealand,20,502,518,515,66.52,65.13,73.49,57.3,67.93,73.48,81.38,73.15,75.47
Ireland,21,501,522,524,66.86,66.1,77.66,50.99,74,70.81,78.45,71.66,75.81
France,22,500,503,510,68.82,64.07,71.29,62.56,68.98,67.86,75.23,69.83,70.42
Latvia,23,496,507,496,76.15,73.29,77.4,59.63,74.73,68.48,81.11,78.04,80.11
Spain,24,496,505,494,74.67,59.56,75.51,54.72,67.21,72.29,77.82,73.06,73.29
Iceland,25,494,479,483,78.35,57.35,73.61,50.7,64.1,76.23,83.92,77.91,76.55
Australia,26,493,512,501,71.73,65.3,75.84,58.47,68.81,74.89,81.84,73.92,76.46
Italy,27,492,501,496,71.31,60.92,74.16,54.18,66.82,75.06,77.83,75.94,70.69
Luxembourg,28,491,492,488,66.26,67.17,70.41,53.73,63.71,73.48,65.8,68.64,69.03
United Kingdom,29,490,511,499,73.74,64.6,79.91,57.99,71.15,73.71,83.35,73.12,76.49
Norway,30,490,495,504,69.61,68.43,69.49,49.96,59.75,70.11,78.34,72.91,71.51
Denmark,31,487,483,484,71.31,53.8,77.35,53.68,67.4,75.81,79.45,73.86,75.63
Hungary,32,486,503,497,68.21,65.39,75.29,60.17,70.89,75.09,75.36,73.99,71.8
United States,33,486,502,503,76.93,71.95,80.86,64.12,73.72,73.85,83.37,75.32,76.55
Slovak Republic,34,486,477,469,74.56,58.85,73.25,60.78,68.52,75.8,74.71,73.49,72.03
Slovenia,35,485,496,462,73.42,70.52,72.85,63.38,67.29,73.17,71.26,75.12,66.75
Portugal,36,485,487,485,77.39,75.85,78.74,61.59,71.9,77.15,82.04,78.72,80.37
Russian Federation,37,484,486,479,85.95,71.57,84.47,76.89,69.31,74.83,85.46,78.04,68.8
Sweden,38,480,486,486,71.02,73.55,73.05,53.44,62.26,73.75,78.22,74.9,75.35
Lithuania,39,479,497,478,78.08,58.18,76,68.32,71.42,70.34,85.53,78.02,77.95
Croatia,40,470,491,485,79.99,57.73,73.34,65.96,66.3,74.93,72.68,76.17,72.93
Israel,41,469,474,492,76.23,74.07,77.26,58.61,74.47,80.4,78.64,76.69,75.57
Greece,42,454,468,478,77.83,68.54,79.17,61.5,74.33,66.9,79.24,78.7,73.28
Turkey,43,449,464,476,73.95,79,79.23,68.22,65.62,69.6,80.68,80.48,74.84
Serbia,44,448,444,446,78.95,63.53,76.87,70.3,66.61,69.27,74.96,77.27,74.53
Romania,45,446,440,440,79.39,65.53,78.55,68.15,73.27,67.14,81.01,79.52,81.02
Chile,46,445,465,460,81.67,63.92,83.37,64.73,71.82,78.3,83.58,77.74,79.12
Bulgaria,47,443,451,443,81.06,69.56,83.79,75.58,81.31,74.66,80.31,81.1,76.01
Thailand,48,442,457,453,82.32,72.85,83.01,76.53,63.64,77.53,82.85,84.3,78.78
United Arab Emirates,49,432,446,438,80.7,69.89,84.89,73.28,74.94,78.53,84.46,78.12,79.35
Kazakhstan,50,432,427,395,85.04,76.76,87.99,83.17,76.47,70.15,87.12,85.63,85.63
Malaysia,51,423,422,401,77,57.15,81.71,70.73,69.38,75.86,84.28,79.97,79.32
Mexico,52,419,420,430,81.57,69.05,81.65,66.1,72.22,74.14,84.94,83.38,81.6
Uruguay,53,411,419,414,76.86,63.47,77.31,67.52,72.61,79.97,82.93,81.19,77.86
Costa Rica,54,407,430,441,80.05,60.83,83.03,61.88,63.62,81.56,85.06,80.23,82.24
Montenegro,55,407,409,420,82.52,70.7,76.39,62.39,64.29,70.6,76.08,78.31,76.83
Argentina,56,396,411,404,77.82,64.03,84.65,64.94,70.92,79.3,83.52,78.17,74.88
Albania,57,396,400,397,87.19,80.56,90.25,80.06,78.12,58.42,88.71,87.15,83.27
Tunisia,58,388,398,404,78.04,65.61,76.67,68.03,66.11,60.14,84.08,78.19,69.44
Colombia,59,387,409,415,79.01,71.05,85.81,67.27,71.32,72.17,84.52,82.22,81.92
Jordan,60,383,405,396,82.61,74.68,83.07,77.3,81.03,73.74,84.77,81.7,73.8
Brazil,61,383,396,401,80.89,69.4,80.59,64.17,72.5,79.75,83.29,80.08,77.79
Qatar,62,377,384,388,82.42,71.64,81.27,70.98,76.76,77.09,82.06,75.39,76.59
Indonesia,63,377,383,398,78.09,71.13,81.41,72.76,77.73,79.14,86.35,84.37,81.79
Peru,64,368,374,385,79.89,68.3,82.25,65.34,74.72,67.59,82.21,82.87,81.1